market,product_clean,year,tons,total_usd,usd_per_ton,region
AFGANISTAN,Ammofos/ASP,2009,2000,404000,202.0,Central Asia
AFGANISTAN,Ammonium,2009,10386,2950000,284.0,Central Asia
AFGANISTAN,Superphosphate,2007,8230,1086360,132.0,Central Asia
Belarus,Ammonium,2008,10110,2487060,246.0,Eastern Europe
Belarus,Superphosphate,2008,2463,327579,133.0,Eastern Europe
Bulgaria,Ammonium,2008,10030,4012000,400.0,Eastern Europe
Georgia,Ammonium,2008,4990,1996000,400.0,Eastern Europe
Hungary,Ammonium,2008,5000,2250000,450.0,Eastern Europe
KAZKAHSTAN,Ammofos/ASP,2007,5611,723819,129.0,Central Asia
KAZKAHSTAN,Ammofos/ASP,2008,6239,717485,115.0,Central Asia
KAZKAHSTAN,Ammonium,2008,1000,400000,400.0,Central Asia
KAZKAHSTAN,Superphosphate,2007,7192,956536,133.0,Central Asia
KIRGIZSTAN,Ammofos/ASP,2008,2559,294285,115.0,Central Asia
KIRGIZSTAN,Ammonium,2007,387,83592,216.0,Central Asia
KIRGIZSTAN,Superphosphate,2007,967,139248,144.0,Central Asia
Poland,Ammonium,2008,10000,4500000,450.0,Eastern Europe
Romania,Ammonium,2008,5000,2000000,400.0,Eastern Europe
Serbia,Ammonium,2008,5000,2000000,400.0,Eastern Europe
TAJIKISTAN,Ammofos/ASP,2007,6294,692340,110.0,Central Asia
TAJIKISTAN,Ammofos/ASP,2008,6974,802010,115.0,Central Asia
TUKMENISTAN,Ammonium,2007,4000,984000,246.0,Central Asia
TUKMENISTAN,Ammonium,2008,11053,4321723,391.0,Central Asia
TUKMENISTAN,Superphosphate,2009,4983,682671,137.0,Central Asia
UKRAINE,Ammofos/ASP,2007,11904,1416576,119.0,Eastern Europe
UKRAINE,Ammofos/ASP,2008,18741,2155215,115.0,Eastern Europe
UKRAINE,Ammonium,2007,4387,1066041,243.0,Eastern Europe
UKRAINE,Superphosphate,2007,16389,2179737,133.0,Eastern Europe
